Plugin,Menu,Section,Type,English,Japanese
"ICE","","","","Don't do hub activities when a red alert is active","レッドアラート中は拠点アクティビティを行わない"
"ICE","","","","Dragoon","竜騎士"
"ICE","","","","Drone Search","ドローン探索"
"ICE","","","","Dronebit Settings","ドローンビット設定"
"ICE","","","","Dual Class##Dual Class_6","2クラス##Dual Class_6"
"ICE","","","","Durability: 40","耐久: 40"
"ICE","","","","Dランク [0]",""
"ICE","","","","Enable","有効"
"ICE","","","","Enable Auto Gamba Wheel","Gambaホイール自動化を有効"
"ICE","","","","Enabling this will make it to where pandora's cordial feature won't be auto-paused.","有効にすると、Pandoraのコーディアル機能が自動停止されなくなります。"
"ICE","","","","Enabling this will show you all weather/timed/sequence missions that you can grind, 
ON TOP OF doing the normal missions for whichever class you start on.
If you just want to focus one specific class, set this to false
Do note: this replaced provisional grinding, due to just being built into the standard mode now (finally)",""
"ICE","","","","Error","エラー"
"ICE","","","","EX+トークン対象天候を強調表示###Highlight EX+ token weathers",""
"ICE","","","","EX+：アドミラルスーツ脚部部材の製作",""
"ICE","","","","EX+：アドミラルスーツ装飾部材の製作",""
"ICE","","","","EX+：ウナギレーションの製作",""
"ICE","","","","EX+：エクスプローラースーツの製作",""
"ICE","","","","EX+：エネルギータンク増産計画",""
"ICE","","","","EX+：エーテル観測機器の継続開発",""
"ICE","","","","EX+：オペレータースーツの製作",""
"ICE","","","","EX+：キャプテンスーツの製作",""
"ICE","","","","EX+：クリスタルのような宝石",""
"ICE","","","","EX+：クルースーツの製作",""
"ICE","","","","EX+：クルースーツの製作・最終工程",""
"ICE","","","","EX+：コスモクリルの活用調査",""
"ICE","","","","EX+：コスモツール強化支援",""
"ICE","","","","EX+：コスモツール改良支援",""
"ICE","","","","EX+：スペーススーツの製作",""
"ICE","","","","EX+：スペーススーツの製作・最終工程",""
"ICE","","","","EX+：ナーヴュア緑道西の養殖環境調査",""
"ICE","","","","EX+：バイオ燃料の製作",""
"ICE","","","","EX+：バイオ燃料の製作・最終工程",""
"ICE","","","","EX+：パイロットスーツの製作",""
"ICE","","","","EX+：パルス・アーセニキの生態調査",""
"ICE","","","","EX+：フュージングウェイ・フロウの分布調査",""
"ICE","","","","EX+：フルブルーム・ファウンテンの試料調査",""
"ICE","","","","EX+：レポリット向けの住環境改善",""
"ICE","","","","EX+：レポリット向けの食生活改善",""
"ICE","","","","EX+：ローバー用貨物梱包材の製作",""
"ICE","","","","EX+：乳製品の長期保存化",""
"ICE","","","","EX+：仮設集積所の建設支援",""
"ICE","","","","EX+：休憩施設用調度品の製作",""
"ICE","","","","EX+：伝承録級素材の採集調査",""
"ICE","","","","EX+：伝承録級素材の採集調査 II",""
"ICE","","","","EX+：伝承録級素材の採集調査 III",""
"ICE","","","","EX+：作業用安全靴の製作",""
"ICE","","","","EX+：作業用防寒帽の製作",""
"ICE","","","","EX+：保存用薬品の製作",""
"ICE","","","","EX+：先駆者器具の再現",""
"ICE","","","","EX+：先駆者大型機器の復元",""
"ICE","","","","EX+：先駆者文明の資源研究",""
"ICE","","","","EX+：先駆者文明出土品の復元",""
"ICE","","","","EX+：先駆者文明品の再現",""
"ICE","","","","EX+：先駆者文明発掘支援","EX+：先駆者文明発掘支援"
"ICE","","","","EX+：先駆者生態研究支援","EX+：先駆者生態研究支援"
"ICE","","","","EX+：先駆者遺物の復元支援",""
"ICE","","","","EX+：先駆者遺物の調査支援",""
"ICE","","","","EX+：光学ノイズ低減の研究支援",""
"ICE","","","","EX+：共存種についての生態調査",""
"ICE","","","","EX+：共振抑制部材の調達",""
"ICE","","","","EX+：再現品の精密加工",""
"ICE","","","","EX+：再生エネルギー燃料の検証",""
"ICE","","","","EX+：加工補助素材の採集",""
"ICE","","","","EX+：動物肉の燻製加工",""
"ICE","","","","EX+：地下遺構内の水脈環境調査",""
"ICE","","","","EX+：地下遺跡の地脈研究支援",""
"ICE","","","","EX+：地下遺跡の環境研究支援",""
"ICE","","","","EX+：地下遺跡の発掘支援",""
"ICE","","","","EX+：地下遺跡の資源研究支援",""
"ICE","","","","EX+：多色錬金薬の製作",""
"ICE","","","","EX+：多色錬金薬の製作・最終工程",""
"ICE","","","","EX+：大型水産物の獲得調査",""
"ICE","","","","EX+：大穴地帯での水中精霊モドキ調査",""
"ICE","","","","EX+：宇宙船建造用の素材加工",""
"ICE","","","","EX+：完全栄養食の探求",""
"ICE","","","","EX+：完全食の製作",""
"ICE","","","","EX+：完全食の製作・最終工程",""
"ICE","","","","EX+：岩盤採掘機で活路を開け",""
"ICE","","","","EX+：希少素材の回収",""
"ICE","","","","EX+：床をつるぴか高級タイルに",""
"ICE","","","","EX+：惑星パエンナ工芸品の精密加工",""
"ICE","","","","EX+：惑星資源の活用検証",""
"ICE","","","","EX+：持続性資源の開発支援",""
"ICE","","","","EX+：採集用作業着の製作",""
"ICE","","","","EX+：携帯耐候資材の開発",""
"ICE","","","","EX+：改・アドミラルスーツ脚部部材の製作",""
"ICE","","","","EX+：改・アドミラルスーツ装飾部材の製作",""
"ICE","","","","EX+：改・キャプテンスーツの製作",""
"ICE","","","","EX+：改・コスモツール強化支援",""
"ICE","","","","EX+：改・コスモツール改良支援",""
"ICE","","","","EX+：改・パイロットスーツの製作",""
"ICE","","","","EX+：改・再生エネルギー燃料の検証",""
"ICE","","","","EX+：改・天体望遠鏡の部材支援",""
"ICE","","","","EX+：改・完全栄養食の探求",""
"ICE","","","","EX+：改・居住区環境改善計画",""
"ICE","","","","EX+：改・樹脂結晶の精製検証",""
"ICE","","","","EX+：改・特質惑星建材の製作",""
"ICE","","","","EX+：改・高栄養価食品の検証",""
"ICE","","","","EX+：新型荒天対策部材の追加納入",""
"ICE","","","","EX+：星石餌活用の実地検証",""
"ICE","","","","EX+：月面素材のなめし革",""
"ICE","","","","EX+：月面素材の採集道具利用",""
"ICE","","","","EX+：未確認水棲生物の存在調査",""
"ICE","","","","EX+：未確認水棲生物の存在調査 II",""
"ICE","","","","EX+：未確認水棲生物の存在調査 III",""
"ICE","","","","EX+：栽培実験成果物の利用",""
"ICE","","","","EX+：植物資源の高度加工",""
"ICE","","","","EX+：樹脂結晶の精製検証",""
"ICE","","","","EX+：水産物の燻製加工",""
"ICE","","","","EX+：火口地帯での溶融ガラス精霊モドキ調査",""
"ICE","","","","EX+：特種装備の製作・最終工程",""
"ICE","","","","EX+：特種装備素材の製作",""
"ICE","","","","EX+：特質惑星建材の製作",""
"ICE","","","","EX+：疑似水晶化ガラスの精密加工",""
"ICE","","","","EX+：石蒼き湖畔の環境相関調査",""
"ICE","","","","EX+：研究用大型水槽の製作",""
"ICE","","","","EX+：研究用大型素材の製作",""
"ICE","","","","EX+：硝礫地帯での砂海中精霊モドキ調査",""
"ICE","","","","EX+：硝礫地帯の大型資源調査",""
"ICE","","","","EX+：稀少エーテル植物の効率調査",""
"ICE","","","","EX+：稀少エーテル鉱物の効率調査",""
"ICE","","","","EX+：稀少素材の精選抽出",""
"ICE","","","","EX+：稀少錬金素材の大量調達",""
"ICE","","","","EX+：稀少錬金試料の精選抽出",""
"ICE","","","","EX+：究極サプリメントプレートの製作",""
"ICE","","","","EX+：究極酵母の開発",""
"ICE","","","","EX+：精密エアフィルター用素材の採集",""
"ICE","","","","EX+：精密水質フィルター用素材の採集",""
"ICE","","","","EX+：素材の対衝撃化加工",""
"ICE","","","","EX+：素材の高耐久化加工",""
"ICE","","","","EX+：結晶体機構復旧資材の調達",""
"ICE","","","","EX+：続・アドミラルスーツ脚部部材の製作",""
"ICE","","","","EX+：続・アドミラルスーツ装飾部材の製作",""
"ICE","","","","EX+：続・キャプテンスーツの製作",""
"ICE","","","","EX+：続・クルースーツの製作",""
"ICE","","","","EX+：続・コスモツール強化支援",""
"ICE","","","","EX+：続・コスモツール改良支援",""
"ICE","","","","EX+：続・スペーススーツの製作",""
"ICE","","","","EX+：続・バイオ燃料の製作",""
"ICE","","","","EX+：続・パイロットスーツの製作",""
"ICE","","","","EX+：続・先駆者器具の再現",""
"ICE","","","","EX+：続・先駆者文明品の再現",""
"ICE","","","","EX+：続・先駆者遺物の調査支援",""
"ICE","","","","EX+：続・再生エネルギー燃料の検証",""
"ICE","","","","EX+：続・多色錬金薬の製作",""
"ICE","","","","EX+：続・大型砂海試料の緊急調達",""
"ICE","","","","EX+：続・完全栄養食の探求",""
"ICE","","","","EX+：続・完全食の製作",""
"ICE","","","","EX+：続・樹脂結晶の精製検証",""
"ICE","","","","EX+：続・特種装備素材の製作",""
"ICE","","","","EX+：続・特質惑星建材の製作",""
"ICE","","","","EX+：続・疑似水晶化ガラスの精密加工",""
"ICE","","","","EX+：続・重力制御装置の小型化開発",""
"ICE","","","","EX+：続・養殖用の練餌製作",""
"ICE","","","","EX+：耐熱精密部材の調達",""
"ICE","","","","EX+：職人用作業着の製作",""
"ICE","","","","EX+：自動販売機の製作",""
"ICE","","","","EX+：超屈折レンズの製作支援",""
"ICE","","","","EX+：超薄型レンズの製作支援",""
"ICE","","","","EX+：遺跡発掘資材の支援",""
"ICE","","","","EX+：郊外拠点の配給支援",""
"ICE","","","","EX+：部屋でもキノコのぬくもりを",""
"ICE","","","","EX+：重要サンプル保管庫の製作",""
"ICE","","","","EX+：重要探索試料の精選抽出",""
"ICE","","","","EX+：防錆加工剤の製作",""
"ICE","","","","EX+：高エネルギー発生装置用素材の調達",""
"ICE","","","","EX+：高エーテル試料の精選抽出",""
"ICE","","","","EX+：高エーテル質樹皮の効率調査",""
"ICE","","","","EX+：高エーテル質鉱物の効率調査",""
"ICE","","","","EX+：高品質製作道具の補充",""
"ICE","","","","EX+：高地熱地帯の地質調査",""
"ICE","","","","EX+：高性能エーテル観測機の開発",""
"ICE","","","","EX+：高所用昇降台の製作",""
"ICE","","","","EX+：高栄養価ゼリー飲料の製作",""
"ICE","","","","EX+：高栄養価食品の製作",""
"ICE","","","","EX+：高機能ドローンの製作",""
"ICE","","","","EX+：高機能寝具の製作",""
"ICE","","","","EX+：高火力炉の製造",""
"ICE","","","","EX+：高純度バイオ燃料の開発",""
"ICE","","","","EX+：魔泉環境のサンプル採集",""
"ICE","","","","Expedition Log","遠征ログ"
"ICE","","","","Export to Clipboard","クリップボードへ出力"
"ICE","","","","Extract Spiritbond on Gather","採集中にマテリア精製"
"ICE","","","","EX：なめし材の現地調達",""
"ICE","","","","EX：アウクセシア向け燃料材の開発",""
"ICE","","","","EX：アカリクギンチャクの触手の連続採集",""
"ICE","","","","EX：インディコライトの連続採集",""
"ICE","","","","EX：エネルギーパネル基盤材の調達",""
"ICE","","","","EX：オイジュス系試料の連続採集",""
"ICE","","","","EX：カプセル・カズムの地質調査",""
"ICE","","","","EX：カプセル・プールズの分布調査",""
"ICE","","","","EX：ガラス溶融機材の調達",""
"ICE","","","","EX：コスモライナー部材の製作支援",""
"ICE","","","","EX：コスモ紅サシ活用の実地検証",""
"ICE","","","","EX：コーヒータイム取得の支援",""
"ICE","","","","EX：シャーレアン料理の再現検証",""
"ICE","","","","EX：デイスプリング・デューの葉の連続採集検証",""
"ICE","","","","EX：デザート・バロー遺跡の環境相関調査",""
"ICE","","","","EX：パエンナグラス精錬材の調達",""
"ICE","","","","EX：パエンナ菓子の開発",""
"ICE","","","","EX：パワードスーツ胸部部材の製作",""
"ICE","","","","EX：パワードスーツ腕部部材の製作",""
"ICE","","","","EX：パワードスーツ腰部部材の製作",""
"ICE","","","","EX：ビーチバカンス用品の開発",""
"ICE","","","","EX：ムーンゲート基地の備品補充",""
"ICE","","","","EX：メンテナンス部材の高度加工",""
"ICE","","","","EX：ルナ・ネイディアの精密調査",""
"ICE","","","","EX：二段ベッドの製作",""
"ICE","","","","EX：休憩施設用素材の製作",""
"ICE","","","","EX：休憩用クッションセットの製作",""
"ICE","","","","EX：伝導核素材の調達",""
"ICE","","","","EX：作業場の照度確保",""
"ICE","","","","EX：作業用小型ポーチの製作",""
"ICE","","","","EX：作業補助用パワーアームの製作",""
"ICE","","","","EX：作業補助設備の製作",""
"ICE","","","","EX：備蓄用飲料の製作",""
"ICE","","","","EX：入浴用調度品の再現依頼",""
"ICE","","","","EX：共存種についての生態調査",""
"ICE","","","","EX：冷却作戦用のドローン部材製造",""
"ICE","","","","EX：化粧品製作の研究支援",""
"ICE","","","","EX：地層試料の分布調査",""
"ICE","","","","EX：培養食料の提供検証",""
"ICE","","","","EX：培養食料の自動調理法研究",""
"ICE","","","","EX：基地周辺の新資源調査",""
"ICE","","","","EX：変異菌類の用途調査",""
"ICE","","","","EX：大型変異種の分布調査",""
"ICE","","","","EX：大型変異種の緊急調達",""
"ICE","","","","EX：大型水産物の獲得調査",""
"ICE","","","","EX：大型水産資源の獲得調査",""
"ICE","","","","EX：大型砂海試料の緊急調達",""
"ICE","","","","EX：宇宙船建造用の素材製作",""
"ICE","","","","EX：宇宙輸送用の梱包材製作",""
"ICE","","","","EX：導光ファイバー基材の調達",""
"ICE","","","","EX：屋外向け簡易調理の再現",""
"ICE","","","","EX：工芸品の加工実証",""
"ICE","","","","EX：強化探索装備の製作",""
"ICE","","","","EX：徹夜用食品の開発",""
"ICE","","","","EX：慰労会用のデザート製作",""
"ICE","","","","EX：慰労会用の準備",""
"ICE","","","","EX：慰労用甘味の製作",""
"ICE","","","","EX：慰労用高級酒の醸造",""
"ICE","","","","EX：搬出用資材の量産支援",""
"ICE","","","","EX：携帯栄養剤の製作",""
"ICE","","","","EX：改・冷却作戦用のドローン部材開発",""
"ICE","","","","EX：改・慰労会用のデザート製作",""
"ICE","","","","EX：改・慰労会用の準備",""
"ICE","","","","EX：改・疑似植物抽出物の研究",""
"ICE","","","","EX：改・議会向け工芸品制作",""
"ICE","","","","EX：改良版ムーンゲルの製作",""
"ICE","","","","EX：改良酵母の継続研究",""
"ICE","","","","EX：新保存食の量産計画",""
"ICE","","","","EX：月底の魔滝での試験技術協力",""
"ICE","","","","EX：東方調度品の再現依頼",""
"ICE","","","","EX：水場の多様性検証",""
"ICE","","","","EX：水産物研究用コンテナの増産",""
"ICE","","","","EX：水産稀少資源の効率調達",""
"ICE","","","","EX：水産金属のインゴット化加工",""
"ICE","","","","EX：水産食材の緊急調達",""
"ICE","","","","EX：河川流域での水中精霊モドキ調査",""
"ICE","","","","EX：河川流域の大型水産資源調査",""
"ICE","","","","EX：泡間の奈落の分布調査",""
"ICE","","","","EX：焦がれの入江南西部の資源量調査",""
"ICE","","","","EX：特異な菌糸の加工",""
"ICE","","","","EX：環境変化試料の分布調査",""
"ICE","","","","EX：環境維持備品の開発支援",""
"ICE","","","","EX：癒しの母星の香炉",""
"ICE","","","","EX：発掘必需品の調達",""
"ICE","","","","EX：発掘現場備品の支援",""
"ICE","","","","EX：稀少資源の連続採集検証",""
"ICE","","","","EX：精密な素材加工",""
"ICE","","","","EX：精密エアフィルター用素材の採集",""
"ICE","","","","EX：精密地質調査","EX：精密地質調査"
"ICE","","","","EX：精密水質フィルター用素材の採集",""
"ICE","","","","EX：続・ガラス加工用高温炉の組立",""
"ICE","","","","EX：続・コスモライナー用素材の製作",""
"ICE","","","","EX：続・レポリット向けの住環境改善試験",""
"ICE","","","","EX：続・レポリット向けの食生活改善試験",""
"ICE","","","","EX：続・作業員への炊き出し準備",""
"ICE","","","","EX：続・冷却作戦用のドローン部材開発",""
"ICE","","","","EX：続・動力伝達用シャフトの製作",""
"ICE","","","","EX：続・基地内の家具備品製作",""
"ICE","","","","EX：続・天体望遠鏡の部材支援",""
"ICE","","","","EX：続・居住区環境改善計画",""
"ICE","","","","EX：続・性質特化素材の調達",""
"ICE","","","","EX：続・慰労会用のデザート製作",""
"ICE","","","","EX：続・慰労会用の準備",""
"ICE","","","","EX：続・拠点備品の製作",""
"ICE","","","","EX：続・生薬の研究成果検証",""
"ICE","","","","EX：続・議会向け工芸品制作",""
"ICE","","","","EX：続・貨物梱包素材の製作",""
"ICE","","","","EX：続・高栄養価ゼリー飲料素材の製作",""
"ICE","","","","EX：続・高栄養価食品の検証",""
"ICE","","","","EX：続・高栄養価食材の製作",""
"ICE","","","","EX：続・高機能ドローンの素材製作",""
"ICE","","","","EX：耐熱探索装備の製作",""
"ICE","","","","EX：耐衝撃コンテナの製作",""
"ICE","","","","EX：職人用調合薬の製作",""
"ICE","","","","EX：裁縫用素材の製作",""
"ICE","","","","EX：観葉調度品の再現",""
"ICE","","","","EX：試験用素材の最終加工検証",""
"ICE","","","","EX：議会向け工芸品制作",""
"ICE","","","","EX：賢人パン調味計画",""
"ICE","","","","EX：通信装置部材の調達",""
"ICE","","","","EX：郊外拠点の配給改善",""
"ICE","","","","EX：郷土調度品の製作",""
"ICE","","","","EX：都市遺構部材の大量調達",""
"ICE","","","","EX：配膳用トレイの製作",""
"ICE","","","","EX：重力制御装置の小型化開発",""
"ICE","","","","EX：重力球高影響下試料の回収依頼",""
"ICE","","","","EX：重藍鉱の精錬加工",""
"ICE","","","","EX：野外活動用備品の製作",""
"ICE","","","","EX：鉱質化原木の連続採集",""
"ICE","","","","EX：錬金薬用精選材の抽出",""
"ICE","","","","EX：錬金薬用素材の大量調達",""
"ICE","","","","EX：非常用オーブンの組立",""
"ICE","","","","EX：非常用ストーブの組立",""
"ICE","","","","EX：養殖用の練餌製作",""
"ICE","","","","EX：香炉の再現依頼",""
"ICE","","","","EX：高エネルギー発生装置用素材の調達",""
"ICE","","","","EX：高エーテル伝導体の研究支援",""
"ICE","","","","EX：高エーテル質樹木の効率調査",""
"ICE","","","","EX：高エーテル質鉱物の効率調査",""
"ICE","","","","EX：高反射鏡素材の調達",""
"ICE","","","","EX：高度職人道具の調達",""
"ICE","","","","EX：高級ソファの製作",""
"ICE","","","","EX：魔泉環境のサンプル採集",""
"ICE","","","","EX：鮮度を保った食品加工",""
"ICE","","","","Field Mastery | Sharp Vision I","フィールドマスタリー／シャープビジョンI"
"ICE","","","","Field Mastery | Sharp Vision II","フィールドマスタリー／シャープビジョンII"
"ICE","","","","Field Mastery | Sharp Vision III","フィールドマスタリー／シャープビジョンIII"
"ICE","","","","Filter by current job only","現在のジョブだけで絞り込む"
"ICE","","","","Filters which planets appear in the
mission list and the overlay.",""
"ICE","","","","Finding drone locations is turned off, so we're just going to ignore this. If you want to run this, please enable it","ドローン地点探索がOFFのため、この処理は無視します。実行する場合は有効にしてください。"
"ICE","","","","Fisher","漁師"
"ICE","","","","Flora Mastery | Clear Vision [Temp]","フローラマスタリー／クリアビジョン［仮］"
"ICE","","","","Food","食事"
"ICE","","","","Food Settings","食事設定"
"ICE","","","","For botanist/miner/fisher","園芸師／採掘師／漁師向け"
"ICE","","","","For fisher only","漁師のみ"
"ICE","","","","FSH","FSH"
"ICE","","","","Gamba Delay","Gamba待機時間"
"ICE","","","","Gamble Between Runs","周回の合間にGambaを実行"
"ICE","","","","Gambling Settings","Gamba設定"
"ICE","","","","Gather Profiles","採集プロファイル"
"ICE","","","","Gather X Amount##Gather X Amount_7","指定数を採集##Gather X Amount_7"
"ICE","","","","Gathering","採集"
"ICE","","","","Gathering Profile","採集プロファイル"
"ICE","","","","Global Artisan Settings","Artisan共通設定"
"ICE","","","","Go buy items when you reach","この値に達したら購入へ移動"
"ICE","","","","Gold Completion Grind","金評価周回"
"ICE","","","","Gold Enabled","金評価を有効"
"ICE","","","","Goldsmith","彫金師"
"ICE","","","","GSM",""
"ICE","","","","Gunbreaker","ガンブレイカー"
